Disease	genes
"Impaired lipid antigen presentation, association with"	CD1E
Impaired mycobacterial immunity	STAT1
Impaired nicotine metabolism	CYP2A6
Impaired nuclear translocation	NR0B2
Impaired porphyrin transport	ABCG2
Impaired protein translocation	"c(\BRIP1\"", \""CCR3\"")"""
Impaired receptor binding and activation	PTGIR
Impaired receptor function	"c(\TAS1R1\"", \""TAS1R3\"", \""TLR1\"")"""
"Impaired receptor function, association with"	TLR1
Impaired receptor signalling	OPRM1
"Impaired retroviral defence, association with"	TRIM5
Impaired sensitisation to apoptosis	MEN1
Impaired slow inactivation	SCN4A
Impaired spermatogenesis	RBMXL2
"Impaired spermatogenesis, association with"	DDX25
Impaired taurocholate transport	SLC10A2
Impaired transport activity	"c(\RHCG\"", \""SLCO1A2\"")"""
Improved adduct removal	XPA
"Improved memory performance, association with"	WWC1
Improved plasma triglyceride clearance	GALNT2
"Impulsivity, association with"	HTR2B
"Inactivation of ERK-induced apoptosis, association"	DAPK1
Inactivity variant	PLD2
Inadequate weight gain	CFTR
Inborn error of vitamin B12 metabolism	ABCD4
"Incident coronary heart disease, decreased risk, association"	SELPLG
Inclusion body myopathy	"c(\GNE\"", \""MYH2\"")"""
Inclusion body myopathy 2	GNE
Inclusion body myositis	"c(\ldb3z4\"", \""MYH2\"")"""
Incontinentia pigmenti	IKBKG
"Incontinentia pigmenti, familial"	IKBKG
Increased  NF-κB activity	IRAK2
Increased ACE activity	ACE
Increased activity	"c(\CNR2\"", \""CYP2D6\"", \""DNASE1\"", \""FPR1\"", \""GLYAT\"", \""GSTP1\"", \""HLCS\"", \""MCHR1\"", \""MESP1\"", \""NAT1\"", \""PAH\"", \""PLA2G7\"", \""PNMT\"", \""SCNN1A\"", \""XDH\"")"""
Increased adhesion of monocytes to endothelial cells	VCAM1
"Increased adiposity and inflammation, association with"	LRRFIP1
Increased affinity for GPIb alpha	VWF
Increased antiretroviral activity	APOBEC3H
Increased apo B levels in a high fat diet	FABP1
"Increased beta-cell function, association with"	FFAR1
Increased binding affinity	"c(\AVPR2\"", \""SHBG\"")"""
Increased bioactivity	GIP
"Increased birth weight, association with"	LEPR
Increased blood ionised calcium level	CASR
"Increased blood pressure after Na-load, association with"	CLCNKA
"Increased BMI, association with"	"c(\IL6R\"", \""LIPC\"")"""
"Increased body mass index, association with"	CRHR1
"Increased body mass/decreased fasting plasma glucose, association with"	MTNR1B
Increased bronchial cell proliferation and transformation	CHRNA9
Increased calcium influx	TRPV5
Increased catalytic activity	FMO3
Increased catalytic efficiency	"c(\AOX1\"", \""CBR3\"")"""
Increased cellular proliferation and PDX-1 overexpression	SSTR5
Increased cholesterol levels	APOB
Increased cholesterol transfer into mitochondria	STAR
Increased chromosomal instability	POLL
"Increased chronic pain, association with"	KCNS1
"Increased clot stiffness, association with"	FGB
Increased concentration of fatty acylcarnitines in plasma	UCP3
"Increased cortical bone mass density, association with"	CYP19A1
Increased creatine uptake	SLC6A8
Increased current and chloride ion transport	SLC26A9
"Increased cytokine concentrations, association with"	HSPA1L
Increased degredation during activation	CPA1
Increased doxorubicin resistance	ABCC1
Increased ENA-78 plasma levels	CXCL5
Increased enyzme activity	CYP27B1
Increased enzyme activity	"c(\AS3MT\"", \""CHIA\"", \""DPYD\"", \""EPHX2\"", \""MME\"", \""PLA2G4A\"", \""PRODH\"", \""SRD5A2\"")"""
Increased EPHX1 activity	EPHX1
"Increased erythrocyte folate concentration, association with"	MTHFR
Increased expression levels	KIR3DL1
Increased factor XIII specific activity	F13A1
"Increased fasting proinsulin concentration, association with"	"c(\SGSM2\"", \""TBC1D30\"")"""
Increased foetal haemoglobin levels	MYB
"Increased folate levels, association with"	SHMT1
"Increased fractional excretion of uric acid, association"	SLC22A12
Increased functional potency	CHGA
Increased glucocorticoid sensitivity	NR3C1
Increased glucose uptake inhibition	CHGA
Increased glutmate transport	SLC1A3
"Increased hair thickness, in Asians, association with"	EDAR
Increased Hb F levels	KLF1
Increased HDL cholesterol	SCARB1
Increased HDL cholesterol levels	"c(\C19orf80\"", \""LCAT\"", \""PAFAH1B2\"", \""PCSK7\"")"""
"Increased head circumference, association with"	SBNO1
"Increased homocysteine levels, association with"	SLC19A1
Increased IL-1b release	NLRP1
"Increased insulin sensitivity, association with"	ARHGEF12
"Increased intima-media thickness, association"	ID3
Increased ion transport activity	SLC26A4
Increased left ventricular wall thickness	"c(\MYBPC3\"", \""MYH7\"", \""MYL3\"", \""TNNI3\"", \""TNNT2\"")"""
Increased longevity	IGF1R
Increased LRP5 signalling	LRP5
"Increased lung cancer risk, association with"	XRCC1
Increased mature protein levels	ABCB11
Increased maximal 3H proline uptake	SLC6A15
Increased methotrexate clearance	SLCO1B1
Increased mRNA expression	TPH2
Increased multidrug response	ABCC1
"Increased muscle size, association with"	ANKRD6
Increased MyD88 binding / reduced CpG ODN responsiveness	TLR9
Increased N-glycosylation	CPA1
"Increased nuchal translucency, tricuspid regurgitation & limb defects"	COL2A1
"Increased phagocytosis, association with"	FCGR3A
Increased plasma apo(a) concentration	LPA
Increased plasma FFA and glycerol levels	GPD2
Increased plasma HDL cholesterol	ABCA1
"Increased plasma insulin levels, association with"	PARL
Increased plasma LDL cholesterol	LDLR
"Increased plasma LDL cholesterol, association with"	LDLR
"Increased plasma leptin levels in obesity, association"	PPARG
"Increased plasma Se levels, in males, association with"	SEPP1
"Increased plasma total cholesterol levels, association with"	SREBF2
"Increased plasma triglyceride levels, association"	APOA5
Increased PLAT antigen levels	PLAT
"Increased post-stroke mortality, association with"	FGA
"Increased postoperative analgesic requirements, association with"	KCNJ6
Increased pregnenolone levels	TSPO
Increased proapo A-1 concentration	APOA1
Increased proline level in schizophrenia	PRODH
Increased protein cleavage by ADAMTS13	VWF
Increased protein expression	TRPV1
Increased protein stability	ICAM1
Increased pulse pressure	P2RX4
"Increased rate of cholesterol synthesis, association with"	SLCO1B1
Increased receptor activity	ADRA2A
Increased receptor sensitivity	LHCGR
Increased receptor signalling	ADRA1A
"Increased response to UV, association with"	ERCC2
"Increased rigid-compulsive behaviour in autism, association with"	SLC6A4
"Increased risk of death in CAD, association with"	ADAMTS13
Increased risk of ischemic heart disease	ABCA1
Increased sensitivity of umami taste receptor	TAS1R1
Increased serum ACE concentration	ACE
"Increased serum cholesterol, association with"	ABCG5
"Increased serum cholesterol, in low-cholesterol consumers"	ABCG8
Increased serum MBL level	MBL2
"Increased serum XT1 activity in pseudoxanthoma elasticum, association"	XYLT1
Increased severity in Leber congenital amaurosis	GUCY2D
Increased sex hormone-binding globulin levels	PER1
Increased signal transduction activity	FCGR2A
"Increased skin pigmentation, association with"	SLC24A5
Increased stability	ETFA
"Increased systolic blood pressure, association with"	ADAMTS16
Increased TGFB1 secretion	SFTPA1
Increased total cholesterol	"c(\ABCA1\"", \""FDFT1\"")"""
Increased total-TC concentrations	TCN2
Increased translation rate	COMT
Increased transport activity	SLC47A2
Increased transporter activity	SLC6A4
Increased triglyceride level in males	APOD
Increased triglyceride levels	"c(\MAP1A\"", \""ZPR1\"")"""
Increased TRIM22 expression and decreased antiviral activity	TRIM22
Increased tumour sensitivity to GHRH	GHRHR
Increased vitamin E-{omega}-hydroxylase activity to tocopherols	CYP4F2
Increased water permeability	AQP4
Indian blood group variant	CD44
Inefficient assembly	CGB
Infant colitis	IL10
Infantile autism	MECP2
Infantile convulsions with paroxysmal choreoathetosis	PRRT2
"Infantile convulsions, benign familial"	PRRT2
"Infantile convulsions, paroxysmal dyskinesia & migraine"	PRRT2
Infantile hepatopathy	LARS
"Infantile liver failure, increased risk"	TRMU
Infantile malignant osteopetrosis	CLCN7
Infantile nephronophthisis & intellectual disability	CEP83
Infantile neuroaxonal dystrophy	PLA2G6
Infantile neuroaxonal dystrophy 1	PLA2G6
Infantile neuroaxonal dystrophy with brain iron accumulation	PLA2G6
Infantile neuroaxonal dystrophy with facial dysmorphism	NALCN
Infantile neuropathy with diaphragmatic weakness	IGHMBP2
Infantile scoliosis & developmental delay	TRPS1
Infantile seizures	KCNQ2
"Infantile seizures, benign"	SCN2A
Infantile spasms	"c(\CASK\"", \""CDKL5\"", \""COL4A1\"", \""GABRA1\"", \""GABRB3\"", \""GNAO1\"", \""GRIN1\"", \""KCNQ2\"", \""KCNT1\"", \""NEDD4L\"", \""PIK3AP1\"", \""RANGAP1\"", \""SCN8A\"", \""SLC35A2\"", \""STXBP1\"")"""
Infantile spasms and epilepsy	TSC2
"Infantile spasms, intractable epilepsy & cerebellar malformation"	KPNA7
"Infectious disease, protection against, association with"	TIRAP
"Infertility, association with"	TSSK4
"Infertility, female, association with"	LHB
"Infertility, idiopathic"	"c(\AR\"", \""USP26\"")"""
"Infertility, male"	"c(\AR\"", \""DMRT1\"", \""FKBPL\"", \""PLCZ1\"")"""
"Infertility, male, association with"	PGAM4
"Infertility, protection against, association with"	"c(\FKBP6\"", \""YBX2\"")"""
Inflammatory bowel disease	"c(\EPCAM\"", \""FOXP3\"", \""IL10\"", \""IL10RA\"", \""IL10RB\"", \""KRT18\"", \""KRT8\"", \""TTC37\"")"""
Inflammatory bowel disease & B-cell non-Hodgkin lymphoma	IL10RB
"Inflammatory bowel disease, association with"	"c(\ABCB1\"", \""BPI\"", \""GLI1\"", \""MST1\"", \""MYO9B\"", \""SLC15A1\"")"""
"Inflammatory bowel disease, early-onset"	IL21
"Inflammatory bowel disease, infantile-onset"	IL10RA
"Inflammatory bowel disease, risk, association with"	DLG5
"Inflammatory bowel disease, very early onset"	TTC7A
"Inflammatory bowel disease, very early onset, association with"	NCF2
Inflammatory demyelinating neuropathy	GJB1
Inflammatory myopathy	LMNA
"Influenza, severe, increased risk"	IFITM3
"Infrarenal abdominal aortic calcified plaque, association with"	HAL
"Inguinal hernia, association with"	ELN
Inherited metabolic disease	"c(\ADA\"", \""NPC1\"")"""
Inherited skin fragility	EXPH5
"Inhibition of prostaglandin H2 formation, association"	PTGS1
"Insensitivity to glutamate taste, association with"	"c(\TAS1R1\"", \""TAS1R3\"")"""
Insensitivity to mifepristone	PGR
Instability of lissencephaly protein 1	NUDC
Insulin resistance	"c(\INSR\"", \""IRS1\"", \""PIK3R1\"", \""PPARG\"", \""TBC1D4\"")"""
Insulin resistance A	INSR
"Insulin resistance syndrome, association with"	SLC27A4
"Insulin resistance syndrome, type A"	LMNA
"Insulin resistance, association with"	"c(\DIO2\"", \""ENPP1\"", \""FABP2\"", \""HNF1A\"", \""PPP1R3A\"", \""TRIB3\"")"""
"Insulin resistance, diabetes and hypertension"	PPARG
"Insulin resistance, mild, association with"	GYS1
"Insulin resistance, severe"	IRS2
Insulin-like growth factor deficiency	IGF1
"Insulinogenic index, association with"	PAM
Integrin activation deficiency disease	FERMT3
Intellectual and developmental disabilities	"c(\CDK4\"", \""EN2\"", \""GLRB\"", \""ISL1\"", \""MAFB\"", \""MECP2\"", \""MID1\"", \""RXRG\"", \""SFRP1\"")"""
Intellectual disability	"c(\ADK\"", \""ADRA2B\"", \""AGO1\"", \""APPL2\"", \""ARHGEF9\"", \""ARID1B\"", \""ARL14EP\"", \""ASCC3\"", \""ASCL1\"", \""ASH1L\"", \""ASUN\"", \""BRD3\"", \""C12orf57\"", \""C12orf65\"", \""CAMK2G\"", \""CASP2\"", \""CDH15\"", \""CHD2\"", \""CNTNAP2\"", \""COL4A3BP\"", \""COQ5\"", \""CTCF\"", \""CTNNB1\"", \""EEF1A2\"", \""EIF2S3\"", \""ELP2\"", \""ENTPD1\"", \""ERLIN2\"", \""FASN\"", \""FRY\"", \""GATAD2B\"", \""GFPT2\"", \""GPD2\"", \""GRIA1\"", \""GRIN2A\"", \""GRIN2B\"", \""HIST3H3\"", \""HNRNPU\"", \""KCNA1\"", \""KDM5A\"", \""KDM6B\"", \""KIF5C\"", \""KIF7\"", \""KIRREL3\"", \""LRP1\"", \""MAST1\"", \""MBD5\"", \""MED12\"", \""MED13L\"", \""MED23\"", \""METTL23\"", \""MIB1\"", \""MYH10\"", \""NACC1\"", "
"\""NDST1\"", \""NGFR\"", \""NSUN2\"", \""PACS1\"", \""PARP1\"", \""PCNT\"", \""PDHA1\"", \""PECR\"", \""PHACTR1\"", \""PHIP\"", \""POGZ\"", \""POLR3B\"", \""PPP2R2B\"", \""PPP2R5D\"", \""PRMT9\"", \""PROX2\"", \""PSMA7\"", \""PTCHD1\"", \""RABL6\"", \""RAI1\"", \""RALGDS\"", \""RAPGEF1\"", \""RYR2\"", \""SCN2A\"", \""SETD5\"", \""SHANK3\"", \""SLC31A1\"", \""SLC6A8\"", \""SOBP\"", \""SPTAN1\"", \""TAF2\"", \""TANC2\"", \""TBR1\"", \""THOC6\"", \""TMEM135\"", \""TNPO2\"", \""TRIO\"", \""TRPC5\"", \""TSC2\"", \""TTI2\"", \""UBR7\"", \""USP9X\"", \""VPS13B\"", \""WAC\"", \""WDR45B\"", \""ZBTB40\"", \""ZCCHC8\"", \""ZDHHC9\"", \""ZNF526\"")"""	
Intellectual disability & autism	"c(\FOXP1\"", \""TUSC3\"")"""
Intellectual disability & dystonia	ARX
Intellectual disability & epilepsy	GABRB2
Intellectual disability & eye movement disorder	ZNF582
Intellectual disability & macrocephaly	BRWD3
Intellectual disability & microcephaly with pontine & cerebellar hypoplasia	CASK
Intellectual disability & seizures	IQSEC2
Intellectual disability & strabismus	ADAT3
Intellectual disability and autism	ZNF407
Intellectual disability and/or autism	ADNP
Intellectual disability and/or autism & dysmorphic features	ADNP
Intellectual disability syndrome	PIGT
Intellectual disability with neuronal migration defects	DYNC1H1
Intellectual disability with severe speech impairment & behavioural problems	DEAF1
"Intellectual disability, autosomal recessive"	PGAP2
"Intellectual disability, behavioural problems, microcephaly & cardiac defect"	PTPRT
"Intellectual disability, brain structural malformations & skin alterations"	PAK3
"Intellectual disability, coarse face & hypotonia"	BCORL1
"Intellectual disability, developmental delay, seizures & hypotonia"	SCN2A
"Intellectual disability, dystonia and sensorineural deafness"	BCAP31
"Intellectual disability, early-onset spasticity, and cerebellar atrophy"	EXOSC3
"Intellectual disability, hypoplasia of the corpus callosum, chorioretinal coloboma & intractable seizures"	C12orf57
"Intellectual disability, microcephaly, pontocerebellar hypoplasia"	CASK
"Intellectual disability, micropcephaly, epilepsy & ataxic gait"	SLC9A6
"Intellectual disability, nonsyndromic"	"c(\ADNP\"", \""AGO1\"", \""ALG13\"", \""CACNG2\"", \""CIC\"", \""CUX2\"", \""DEAF1\"", \""EPB41L1\"", \""FGD1\"", \""GRIN1\"", \""HCFC1\"", \""HUWE1\"", \""IQSEC2\"", \""KCNQ3\"", \""KIAA1033\"", \""KIAA2022\"", \""KIF1A\"", \""MED12\"", \""NAA10\"", \""NRXN1\"", \""PLXNA3\"", \""PLXNB3\"", \""PRKRA\"", \""SATB2\"", \""SCN2A\"", \""SCN8A\"", \""SETBP1\"", \""SETD5\"", \""SLC2A1\"", \""STAG1\"", \""STXBP1\"", \""SYNGAP1\"", \""TCF4\"", \""ZBTB18\"", \""ZNF41\"")"""
"Intellectual disability, nonsyndromic, autosomal recessive"	"c(\MAN1B1\"", \""ZC3H14\"")"""
"Intellectual disability, nonsyndromic, no cardiac involvement"	MED13L
"Intellectual disability, plantar fat pads & facial dysmorphism"	ARID1B
"Intellectual disability, polyneuropathy & ptosis"	MCM3AP
"Intellectual disability, seizures, tetraparaparesis & microcephaly"	TBCD
"Intellectual disability, spastic paraplegia & short stature"	"c(\AP4E1\"", \""AP4S1\"")"""
"Intellectual disability, spastic paraplegia, axon neuropathy & leukoencephalopathy"	SYNE1
"Intellectual disability, syndromic X-linked"	CCDC22
"Intellectual disability, X-linked"	"c(\ATRX\"", \""CLIC2\"", \""GRIA3\"", \""KDM5C\"", \""MID2\"", \""UBE2A\"", \""ZMYM3\"")"""
"Intellectual disability, X-linked & Coffin-Lowry syndrome"	RPS6KA3
"Intellectual disability, X-linked, Nascimento type"	UBE2A
Intellectual performance impairment	ST3GAL3
"Interhemispheric fusion, single nostril nose"	SHH
Interleukin 1 receptor antagonist deficiency	IL1RN
Interleukin 12 deficiency	IL12B
Intermediate metaboliser	CYP2D6
Interstitial lung disease	"c(\NKX2-1\"", \""SFTPC\"")"""
Intestinal pseudo-obstruction	TCAP
Intracerebral haemorrhage	COL4A1
Intracerebral haemorrhage & leukoencephalopathy	COL4A2
"Intracerebral haemorrhage, foetal"	COL4A1
"Intracerebral haemorrhage, foetal, with cataract"	COL4A1
"Intracerebral haemorrhage, increased risk"	IFNE
"Intracerebral haemorrhage, late-onset"	COL4A1
Intracranial aneurysm	"c(\TGFBR3\"", \""TNFRSF13B\"")"""
"Intracranial aneurysm, association with"	"c(\COL3A1\"", \""LOXL2\"")"""
"Intracranial aneurysm, increased risk, association with"	ENG
"Intracranial aneurysm, susceptibility, association with"	COL1A2
Intracranial calcification	COL4A1
"Intracranial germ cell tumour, increased risk"	JMJD1C
Intractable epilepsy	SCN1A
Intractable epilepsy & developmental delay	PIGO
Intractable epilepsy and intellectual disability	SLC6A8
Intractable epilepsy and mental decline	SCN2A
"Intractable epilepsy, childhood-onset"	POLG
Intractable seizures	ZFYVE20
Intrahepatic cholestasis of pregnancy	"c(\ABCB11\"", \""ABCB4\"", \""ATP8B1\"", \""NR1H4\"")"""
"Intrahepatic cholestasis of pregnancy, association"	ABCB4
"Intrahepatic cholestasis of pregnancy, association with"	"c(\ABCC2\"", \""NR1H4\"")"""
"Intrahepatic cholestasis, benign recurrent"	"c(\ABCB11\"", \""ATP8B1\"")"""
"Intrahepatic cholestasis, benign recurrent 2"	ABCB11
"Intrahepatic cholestasis, familial benign"	ABCB11
"Intrahepatic cholestasis, familial progressive"	"c(\ABCB11\"", \""ABCB4\"", \""ATP8B1\"")"""
"Intrahepatic cholestasis, familial progressive 2"	ABCB11
"Intrahepatic cholestasis, familial progressive 3"	ABCB4
"Intrahepatic cholestasis, familial progressive, association with"	ABCB11
"Intrahepatic cholestasis, Greenland type"	ATP8B1
"Intrahepatic cholestasis, neonatal"	SLC25A13
"Intraocular pressure, association with"	OLFM2
"Intrauterine growth restriction, microcephaly, developmental delay & hip dysplasia"	MYH10
"Intrauterine growth restriction, microcephaly, renal cystic dysplasia/agenesis and brain & genitourinary malformations"	KIF14
"Intrauterine growth restriction, short stature & early-onset diabetes"	CDKN1C
"Intrauterine growth retardation, dysmorphic features & insulin resistance"	IGF1R
"Intrauterine HIV-1 infection, increased risk"	CD209
Intrinsic factor deficiency	GIF
"Invasive aspergillosis, susceptibility"	PLG
Iodide organification defect	DUOX2
Iodide transport defect	SLC5A5
IPEX syndrome	FOXP3
IPEX-like syndrome	STAT1
IRAK4 deficiency	IRAK4
Iridogoniodysgenesis syndrome	PITX2
Iris anomaly	EYA1
Iris hypoplasia	PITX2
Iron deficiency anaemia	TMPRSS6
"Iron deficiency anaemia, susceptibility association with"	TF
Iron overload	"c(\CYBRD1\"", \""HFE\"", \""SLC40A1\"")"""
"Iron overload disease, ferroportin-associated"	"c(\SLC40A1\"", \""TGFBR2\"")"""
"Iron status and erythrocyte volume, association with"	TMPRSS6
Iron-refractory iron deficiency anaemia (IRIDA)	TMPRSS6
Irritable bowel syndrome	SCN5A
"Ischaemic cardiomyopathy, infarct size, association with"	ADORA3
"Ischaemic heart disease, increased risk, association with"	"c(\ABCG1\"", \""APOA1\"")"""
"Ischaemic stroke, association with"	"c(\APOB\"", \""PON1\"")"""
"Ischaemic stroke, increased risk"	PON1
"Ischaemic stroke, protection against"	PON1
"Ischemic cerebrovascular events, association with"	SCNN1A
"Ischemic stroke, association with"	C5
"Ischemic stroke, protection against"	NOTCH3
Isobutyryl-CoA dehydrogenase deficiency	ACAD8
Isolated central hypothyroidism	TRHR
Isolated Complex I deficiency	NDUFS2
Isolated congenital asplenia	NKX2-5
Isolated digital clubbing	SLCO2A1
Isolated distal myopathy of upper limbs	POLG
Isolated eyelid closure myotonia	SCN4A
Isolated growth hormone deficiency	HESX1
Isolated hyperCKaemia	CAV3
Isolated hypomyelination	TUBB4A
"Isolated mineralocorticoid deficiency, association with"	NR0B1
Isolated nail dysplasia	FZD6
Isolated question-mark ears	EDN1
Isovaleric acidaemia	IVD
ITPase deficiency	ITPA
Ivemark syndrome	"c(\RERE\"", \""SMARCC2\"")"""
Jackson-Weiss syndrome	FGFR2
Jal+ antigen	RHCE
Jensen syndrome	TIMM8A
Jervell and Lange-Nielsen syndrome	"c(\KCNE1\"", \""KCNQ1\"")"""
Jeune asphyxiating thoracic dystrophy	"c(\IFT140\"", \""TTC21B\"", \""WDR34\"")"""
Jeune syndrome	WDR19
JK-null variant	SLC14A1
JMH blood group variation	SEMA7A
JMP syndrome	PSMB8
Johanson-Blizzard syndrome	UBR1
Joint hypermobility syndrome with myopathy	COL12A1
Joubert syndrome	"c(\AHI1\"", \""ARL13B\"", \""B9D1\"", \""C5orf42\"", \""c5orf42a\"", \""CC2D2A\"", \""CEP290\"", \""CEP41\"", \""CSPP1\"", \""EXOC8\"", \""INPP5E\"", \""OFD1\"", \""RPGRIP1L\"", \""TCTN2\"", \""TCTN3\"", \""TMEM231\"", \""TMEM67\"", \""TTC21B\"")"""
Joubert syndrome 2	"c(\TMEM138\"", \""TMEM216\"")"""
Joubert syndrome related disorder	TMEM237
Joubert syndrome with Jeune asphyxiating thoracic dystrophy	CSPP1
Joubert syndrome-related disorder	TMEM216
"Joubert syndrome, modifier of"	AHI1
"Joubert syndrome, Senior-Loken type"	CEP290
Jr(a-) blood group variant	ABCG2
Juberg-Marsidi syndrome	ATRX
Juvenile granulosa cell tumour	DICER1
Juvenile idiopathic arthritis	"c(\TNFRSF1A\"", \""UNC13D\"")"""
"Juvenile idiopathic arthritis, systemic"	LACC1
Juvenile myoclonic epilepsy	NIPA2
Juvenile polyposis and haemorrhagic telangiectasia	SMAD4
Juvenile polyposis coli	"c(\APC\"", \""PTEN\"", \""SMAD4\"")"""
Juvenile polyposis syndrome	"c(\BMPR1A\"", \""SMAD4\"")"""
"Juvenile rheumatoid arthritis, association with"	PSMB8
Juvenile vitelliform macular dystrophy	BEST1
K(null) phenotype	KEL
Kabuki syndrome	"c(\KDM1A\"", \""KDM6A\"", \""KMT2D\"")"""
Kahrizi syndrome	SRD5A3
Kallikrein deficiency	KLK12
Kallmann syndrome	"c(\CHD7\"", \""DUSP6\"", \""FEZF1\"", \""FGF17\"", \""FGF8\"", \""FGFR1\"", \""fgfr18a\"", \""FLRT3\"", \""GNRHR\"", \""HESX1\"", \""HS6ST1\"", \""IL17RD\"", \""KAL1\"", \""KISS1R\"", \""NSMF\"", \""PROK2\"", \""PROKR2\"", \""SEMA3A\"", \""SOX10\"", \""SPRY4\"", \""WDR11\"")"""
Kallmann syndrome & hearing loss	SOX10
Kallmann syndrome with deafness	SOX10
Kallmann syndrome without deafness	SOX10
"Kallmann syndrome, reversible"	PROKR2
Kaposi sarcoma	TNFRSF4
Kartagener syndrome	DNAI1
Karyomegalic interstitial nephritis	FAN1
Kaufman oculocerebrofacial syndrome	UBE3B
KBG syndrome	ANKRD11
Kearns-Sayre syndrome	RRM2B
Kell blood group variation	KEL
Kenny-Caffey syndrome	FAM111A
Keratitis-ichthyosis-deafness syndrome	GJB2
"Keratitis-ichthyosis-deafness syndrome, modifier of"	KRT17
Keratoconus	"c(\DOCK9\"", \""TGFBI\"", \""VSX1\"", \""ZEB1\"", \""ZNF469\"")"""
Keratoconus & Fuchs endothelial corneal dystrophy	ZEB1
Keratocystic odontogenic tumours	PTCH1
Keratoderma & woolly hair	KANK2
"Keratoderma, epidermolytic palmoplantar"	KRT9
"Keratoderma, epidermolytic palmoplantar with tontubular keratin"	KRT1
"Keratoderma, non-epidermolytic palmoplantar"	"c(\KRT1\"", \""KRT16\"")"""
"Keratoderma, palmoplantar"	KRT1
"Keratoderma, palmoplantar, Bothnia Type"	AQP5
"Keratoderma, palmoplantar, diffuse nonepidermolytic"	AQP5
"Keratoderma, palmoplantar, punctate"	"c(\AAGAB\"", \""COL14A1\"")"""
"Keratoderma, palmoplantar, punctate, Buschke-Fischer-Brauer type"	AAGAB
"Kernicterus, acute"	SLC4A1
Keutel syndrome	MGP
Kidd blood group variant	SLC14A1
Kindler syndrome	FERMT1
Kininogen deficiency	KNG1
KIR2DL3 variant	KIR2DL3
Kjellin syndrome	SPG11
Kleefstra syndrome	"c(\EHMT1\"", \""KMT2C\"", \""NR1I3\"", \""SMARCB1\"")"""
Klippel-Feil syndrome	"c(\GDF6\"", \""MEOX1\"", \""PAX1\"")"""
Klippel-Trenaunay syndrome	AGGF1
"Knee osteoarthritis, association with"	dvwa
Kniest dysplasia	COL2A1
Knobloch syndrome	"c(\ADAMTS18\"", \""COL18A1\"", \""col18a1l\"")"""
Knops blood group variation	CR1
"Knuckle pads, hyperkeratosis and deafness"	GJB2
"Knuckle pads, leukonychia, sensorineural deafness"	GJB2
Kohlschütter-Tönz syndrome	ROGDI
Kostmann disease	HAX1
Krabbe disease	GALC
"Krabbe disease, association with"	GALC
"Krabbe disease, late-onset"	GALC
Kufor Rakeb syndrome	ATP13A2
"Kufs disease, type B"	CTSF
"Kynurenic acid levels in cerebrospinal fluid, association with"	KMO
Kyphoscoliosis	FBN1
L-2-Hydroxyglutaric aciduria	L2HGDH
L-ferritin deficiency	FTL
L1 syndrome	L1CAM
"Labyrinthine aplasia, microtia & microdontia"	FGF3
Lacrimo-auriculo-dento-digital syndrome	"c(\FGF10\"", \""FGFR2\"", \""FGFR3\"")"""
"Lactase deficiency, congenital"	LCT
Lactate dehydrogenase deficiency	"c(\LDHA\"", \""LDHB\"")"""
"Lactic acidemia, neonatal"	NDUFS6
Lactic acidosis	"c(\PDHA1\"", \""POLG\"")"""
Lactic acidosis & hyperpyruvataemia	MPC1
Lactic acidosis with mitochondrial DNA depletion	SUCLG1
"Lactic acidosis, fatal early-onset"	LIPT1
"Lactic acidosis, fatal neonatal"	COX14
"Lafora body disease, early-onset"	PRDM8
Lambert-Eaton myasthenic syndrome	SYT2
Lamellar ichthyosis with hyperlinearity of palms & soles	CYP4F22
"Laminin alpha 2 chain deficiency, partial"	LAMA2
Laminopathy	LMNA
Lan(-) blood group variant	ABCB6
Lan(w) blood group variant	ABCB6
Landau-Kleffner syndrome	"c(\ARFGEF2\"", \""BSN\"", \""C7orf55\"", \""CD59\"", \""EIF3E\"", \""EPHB2\"", \""GBE1\"", \""GIPC1\"", \""GRIN2A\"", \""ITGB1BP1\"", \""LOR\"", \""MPDZ\"", \""MSC\"", \""PHF8\"", \""PRRT2\"", \""RELN\"", \""SLC30A3\"", \""SLC7A6OS\"", \""TMEM139\"")"""
Langer mesomelic dysplasia	SHOX
Langerhans cell histiocytosis	BRAF
Language impairment	PSEN1
Large-headed spermatazoa	AURKC
Laron dwarfism	GHR
"Larsen syndrome, autosomal dominant"	FLNB
"Larsen syndrome, autosomal recessive"	CHST3
"Larsen-like syndrome, B3GAT3 type"	B3GAT3
Laryngo-onycho-cutaneous syndrome	LAMA3
Late foetal loss	THBD
Late-onset deafness	EYA4
Lathosterolosis	SC5D
"Leanness, association with"	AHSG
"Learning disability with progressive ataxia, spasticity and dystonia"	MECP2
